Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
3090	-30.6003	-25.6231	-4.97721	0.01	0.9531847	-2.140294	0.007239464
3100	-31.5419	-25.0667	-6.47521	0.01	1.733572	-2.167469	0.006800349
3110	-30.6329	-25.3171	-5.31574	0.01	1.1625	-2.214142	0.006107427
3120	-34.2552	-28.489	-5.76621	0.01	1.395346	-1.722493	0.01894555
3130	-31.2455	-25.0082	-6.23732	0.01	1.621738	-2.272889	0.005334713
3140	-30.5214	-25.6486	-4.87281	0.01	0.8684993	-2.157323	0.006961081
3150	-30.6837	-25.8311	-4.85261	0.01	0.8490256	-2.602774	0.002495893
3160	-31.6803	-26.6816	-4.99865	0.01	0.9685521	-2.891594	0.001283528
3170	-30.3287	-25.555	-4.77369	0.01	0.7386999	-2.296986	0.005046781
3180	-31.2097	-25.0461	-6.16364	0.01	1.586876	-2.360887	0.004356251
3190	-30.6367	-25.789	-4.84772	0.01	0.844063	-2.583677	0.002608092
3200	-31.4053	-26.2021	-5.20317	0.01	0.4299954	-2.656967	0.002203094
3210	-31.2578	-25.5717	-5.68605	0.01	1.355612	-2.595003	0.002540952
3220	-32.6645	-24.6949	-7.96955	0.01	2.437928	-2.338591	0.004585741
3230	-30.7601	-25.9515	-4.8086	0.01	0.5912411	-2.590174	0.002569369
